Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,131161,-,-,-,38.53,-121.74,-8,17,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,0,0,0,0,0,0,-4.5,163.91,0,0.13,4.2,0.3,355,59.86,2.5,1020,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,0,0,0,0,0,0,-4.6,156.98,0,0.13,4.7,0.3,350,60.88,2.2,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,0,0,0,0,0,-4.6,146.5,0,0.13,4.8,0.3,347,62.45,1.8,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,0,0,0,0,0,-4.7,135,0,0.13,4.6,0.3,346,63.89,1.4,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,0,0,0,0,0,-4.7,123.28,0,0.13,4.3,0.3,345,65.48,1,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,0,0,0,0,0,-4.8,111.69,0,0.13,4.2,0.3,345,66.11,0.8,1022,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,0,0,0,0,0,-4.9,100.48,0,0.13,4.1,0.4,346,65.9,0.7,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,8,98,9,10,151,12,7,-5,89.41,21,0.13,4.3,0.4,346,61.43,1.6,1024,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,39,616,144,35,684,151,0,-4.4,80.2,14,0.13,4.4,0.5,350,54.51,3.9,1025,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,48,838,306,48,838,306,0,-4.3,72.04,0,0.13,4,0.5,177,44.95,6.8,1025,15.3753,11.8735,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,66,850,414,58,897,425,0,-5.1,65.84,11,0.13,3.7,0.6,179,35.8,9.3,1024,21.9428,17.0673,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,66,911,491,62,928,495,0,-5.5,62.21,4,0.13,3.8,0.6,353,30.76,11.1,1023,26.702,20.8271,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,67,908,498,64,923,502,0,-5.8,61.65,4,0.13,4.1,0.7,350,27.89,12.2,1023,27.1803,21.2079,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,64,892,452,64,892,452,0,-5.8,64.23,0,0.13,4,0.8,349,27.28,12.6,1023,24.2444,18.8828,N/A,,,,,,,,,,,,,,,,,,,,,
