Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,131161,-,-,-,38.53,-121.74,-8,17,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2018,1,1,0,30,0,0,0,0,0,0,4,5,163.9,0,0.12,1.2,1.2,305,86.09,7.2,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2018,1,1,1,30,0,0,0,0,0,0,4,5.1,156.99,0,0.12,1.2,1.2,315,86.89,7.1,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2018,1,1,2,30,0,0,0,0,0,0,4,4.9,146.51,0,0.12,1.2,1.2,319,87.27,6.9,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2018,1,1,3,30,0,0,0,0,0,0,4,4.8,135.01,0,0.12,1.2,1.2,316,89.29,6.4,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2018,1,1,4,30,0,0,0,0,0,0,4,4.6,123.3,0,0.12,1.3,1.2,313,91.48,5.9,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2018,1,1,5,30,0,0,0,0,0,0,4,4.5,111.71,0,0.12,1.3,1.3,314,93.08,5.5,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2018,1,1,6,30,0,0,0,0,0,0,0,4.3,100.49,0,0.12,1.3,1.3,317,94.36,5.1,1021,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2018,1,1,7,30,8,44,8,9,88,10,0,4.1,89.43,32,0.12,1.2,1.4,325,85.45,6.4,1022,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
2018,1,1,8,30,47,502,132,43,555,137,0,4.7,80.21,18,0.12,1.6,1.4,337,72.4,9.4,1023,0,0,N/A,,,,,,,,,,,,,,,,,,,,,
